link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
5765,883,5523,2,44032,18246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5766,883,5523,2,44032,18249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768,886,5524,2,44032,18245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5769,886,5524,2,44032,18248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5771,889,5525,2,44032,18248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5772,889,5525,2,44032,18245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5774,892,5526,2,44032,18243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5775,892,5526,2,44032,18249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5777,895,5527,2,44032,18243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5778,895,5527,2,44032,18249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5794,997,5529,2,44032,18651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5795,997,5529,2,44032,18652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5797,1000,5530,2,44032,18652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5798,1000,5530,2,44032,18651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5800,1003,5531,2,44032,18650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5801,1003,5531,2,44032,18653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5803,1006,5532,2,44032,18653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804,1006,5532,2,44032,18650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5806,1009,5533,2,44032,18654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5807,1009,5533,2,44032,18654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5809,1012,5534,2,44032,18654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5810,1012,5534,2,44032,18654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5826,1062,5536,2,44032,19054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5827,1062,5536,2,44032,19051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5829,1065,5537,2,44032,19051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5830,1065,5537,2,44032,19054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5832,1068,5538,2,44032,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5833,1068,5538,2,44032,19053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5835,1071,5539,2,44032,19053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5836,1071,5539,2,44032,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5838,1074,5540,2,44032,19055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5839,1074,5540,2,44032,19055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5841,1077,5541,2,44032,19055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5842,1077,5541,2,44032,19055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5858,1124,5543,1,5504,19421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5859,1124,5543,1,5504,19521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,1127,5544,1,5504,19421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5862,1127,5544,1,5504,19521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5864,1130,5545,1,5504,19422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5865,1130,5545,1,5504,19422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5867,1133,5546,1,5504,19422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5868,1133,5546,1,5504,19422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5870,1136,5547,1,5504,19417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,1136,5547,1,5504,19418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5873,1139,5548,1,5504,19418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5874,1139,5548,1,5504,19417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9330,9217,9215,2,5504,13081,13527,13966,14411,14852,,,,,,,,,,,,,,,,,,,,,,,,,
9329,9217,9215,2,44032,12633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379,9217,9215,2,5504,13081,13527,13966,14411,14852,,,,,,,,,,,,,,,,,,,,,,,,,
10380,9217,9215,2,44032,12633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
