link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
5792,13954,14086,2,44032,9215,9331,9447,9563,9679,9795,9911,10027,,,,,,,,,,,,,,,,,,,,,,
14106,13955,14087,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14107,13955,14087,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14108,13955,14087,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109,13955,14087,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14110,13955,14087,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14111,13955,14087,2,44032,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5824,14112,14236,2,44032,10393,10509,10625,10741,10857,10973,11089,11205,,,,,,,,,,,,,,,,,,,,,,
5823,14112,14236,2,44032,10393,10509,10625,10741,10857,10973,11089,11205,,,,,,,,,,,,,,,,,,,,,,
14252,14113,14237,2,44032,14236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14253,14113,14237,2,44032,14236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5856,14254,14374,1,5504,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5855,14254,14374,1,5504,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14394,14255,14375,1,5504,14374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14395,14255,14375,1,5504,14374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14396,14255,14375,1,5504,14374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14397,14255,14375,1,5504,14374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14398,14255,14375,1,5504,14374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14399,14255,14375,1,5504,14374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
